State,State Code,County,Lookup,RI Name,NFIP Flood Zone,AOP,WS,EQ,Excess FL,Wildfire
Florida,FL,Alachua County,FLAlachua County,Florida non SE WS,A,I3,C3,3,3,I3
Florida,FL,Baker County,FLBaker County,Florida non SE WS,A,I3,C3,3,3,I3
Florida,FL,Bay County,FLBay County,Florida non SE WS,A,C3,C3,3,1,C3
Florida,FL,Bradford County,FLBradford County,Florida SE - Jacksonville,A,I3,C3,3,3,I3
Florida,FL,Brevard County,FLBrevard County,Florida SE - All Other,A,C2,C2,3,3,C2
Florida,FL,Broward County,FLBroward County,Florida SE - South Tip,A,C1,C1,3,3,C1
Florida,FL,Calhoun County,FLCalhoun County,Florida non SE WS,A,I3,C3,3,1,I3
Florida,FL,Charlotte County,FLCharlotte County,Florida non SE WS,A,C3,C3,3,3,C3
Florida,FL,Citrus County,FLCitrus County,Florida non SE WS,A,C1,C1,3,3,C1
Florida,FL,Clay County,FLClay County,Florida SE - Jacksonville,A,I3,C3,3,3,I3
Florida,FL,Collier County,FLCollier County,Florida non SE WS,A,C2,C2,3,3,C2
Florida,FL,Columbia County,FLColumbia County,Florida non SE WS,A,I3,C3,3,3,I3
Florida,FL,DeSoto County,FLDeSoto County,Florida non SE WS,A,I2,C3,3,3,I2
Florida,FL,Dixie County,FLDixie County,Florida non SE WS,A,C3,C3,3,2,C3
Florida,FL,Duval County,FLDuval County,Florida SE - Jacksonville,A,C3,C3,3,3,C3
Florida,FL,Escambia County,FLEscambia County,Florida non SE WS,A,C3,C3,3,3,C3
Florida,FL,Flagler County,FLFlagler County,Florida SE - Jacksonville,A,C3,C3,3,3,C3
Florida,FL,Franklin County,FLFranklin County,Florida non SE WS,A,C3,C3,3,2,C3
Florida,FL,Gadsden County,FLGadsden County,Florida non SE WS,A,I3,C3,3,2,I3
Florida,FL,Gilchrist County,FLGilchrist County,Florida non SE WS,A,I3,C3,3,3,I3
Florida,FL,Glades County,FLGlades County,Florida non SE WS,A,I1,C3,3,3,I1
Florida,FL,Gulf County,FLGulf County,Florida non SE WS,A,C3,C3,3,1,C3
Florida,FL,Hamilton County,FLHamilton County,Florida non SE WS,A,I3,C3,3,3,I3
Florida,FL,Hardee County,FLHardee County,Florida non SE WS,A,I2,C3,3,3,I2
Florida,FL,Hendry County,FLHendry County,Florida non SE WS,A,I1,C3,3,3,I1
Florida,FL,Hernando County,FLHernando County,Florida non SE WS,A,C3,C3,3,3,C3
Florida,FL,Highlands County,FLHighlands County,Florida SE - All Other,A,I1,C3,3,3,I1
Florida,FL,Hillsborough County,FLHillsborough County,Florida non SE WS,A,C2,C2,3,3,C2
Florida,FL,Holmes County,FLHolmes County,Florida non SE WS,A,I3,C3,3,1,I3
Florida,FL,Indian River County,FLIndian River County,Florida SE - All Other,A,C2,C2,3,3,C2
Florida,FL,Jackson County,FLJackson County,Florida non SE WS,A,I3,C3,3,2,I3
Florida,FL,Jefferson County,FLJefferson County,Florida non SE WS,A,C3,C3,3,2,C3
Florida,FL,Lafayette County,FLLafayette County,Florida non SE WS,A,I3,C3,3,2,I3
Florida,FL,Lake County,FLLake County,Florida SE - All Other,A,I3,C3,3,3,I3
Florida,FL,Lee County,FLLee County,Florida non SE WS,A,C2,C2,3,3,C2
Florida,FL,Leon County,FLLeon County,Florida non SE WS,A,I3,C3,3,2,I3
Florida,FL,Levy County,FLLevy County,Florida non SE WS,A,C3,C3,3,3,C3
Florida,FL,Liberty County,FLLiberty County,Florida non SE WS,A,I3,C3,3,2,I3
Florida,FL,Madison County,FLMadison County,Florida non SE WS,A,I3,C3,3,3,I3
Florida,FL,Manatee County,FLManatee County,Florida non SE WS,A,C3,C3,3,3,C3
Florida,FL,Marion County,FLMarion County,Florida SE - Jacksonville,A,I3,C3,3,3,I3
Florida,FL,Martin County,FLMartin County,Florida SE - All Other,A,C2,C2,3,3,C2
Florida,FL,Miami-Dade County,FLMiami-Dade County,Florida SE - South Tip,A,C1,C1,3,3,C1
Florida,FL,Monroe County,FLMonroe County,Florida SE - South Tip,A,C1,C1,3,3,C1
Florida,FL,Nassau County,FLNassau County,Florida SE - Jacksonville,A,C3,C3,3,3,C3
Florida,FL,Okaloosa County,FLOkaloosa County,Florida non SE WS,A,C3,C3,3,2,C3
Florida,FL,Okeechobee County,FLOkeechobee County,Florida SE - All Other,A,I1,C3,3,3,I1
Florida,FL,Orange County,FLOrange County,Florida SE - All Other,A,I3,C3,3,3,I3
Florida,FL,Osceola County,FLOsceola County,Florida SE - All Other,A,I1,C3,3,3,I1
Florida,FL,Palm Beach County,FLPalm Beach County,Florida SE - South Tip,A,C1,C1,3,3,C1
Florida,FL,Pasco County,FLPasco County,Florida non SE WS,A,C2,C2,3,3,C2
Florida,FL,Pinellas County,FLPinellas County,Florida non SE WS,A,C2,C2,3,3,C2
Florida,FL,Polk County,FLPolk County,Florida non SE WS,A,I2,C3,3,3,I2
Florida,FL,Putnam County,FLPutnam County,Florida SE - Jacksonville,A,I3,C3,3,3,I3
Florida,FL,Santa Rosa County,FLSanta Rosa County,Florida non SE WS,A,C3,C3,3,2,C3
Florida,FL,Sarasota County,FLSarasota County,Florida non SE WS,A,C2,C2,3,3,C2
Florida,FL,Seminole County,FLSeminole County,Florida SE - All Other,A,I3,C3,3,3,I3
Florida,FL,St. Johns County,FLSt. Johns County,Florida SE - Jacksonville,A,C3,C3,3,3,C3
Florida,FL,St. Lucie County,FLSt. Lucie County,Florida SE - All Other,A,C2,C2,3,3,C2
Florida,FL,Sumter County,FLSumter County,Florida non SE WS,A,I3,C3,3,3,I3
Florida,FL,Suwannee County,FLSuwannee County,Florida non SE WS,A,I3,C3,3,3,I3
Florida,FL,Taylor County,FLTaylor County,Florida non SE WS,A,C3,C3,3,2,C3
Florida,FL,Union County,FLUnion County,Florida SE - Jacksonville,A,I3,C3,3,3,I3
Florida,FL,Volusia County,FLVolusia County,Florida SE - All Other,A,C2,C2,3,3,C2
Florida,FL,Wakulla County,FLWakulla County,Florida non SE WS,A,C3,C3,3,2,C3
Florida,FL,Walton County,FLWalton County,Florida non SE WS,A,C3,C3,3,1,C3
Florida,FL,Washington County,FLWashington County,Florida non SE WS,A,I3,C3,3,1,I3
Texas,TX,Anderson County,TXAnderson County,,A,I3,C3,3,3,I3
Texas,TX,Andrews County,TXAndrews County,,A,I1,C3,3,3,I1
Texas,TX,Angelina County,TXAngelina County,,A,I3,C3,3,2,I3
Texas,TX,Aransas County,TXAransas County,Texas WS,A,C2,C2,3,3,C2
Texas,TX,Archer County,TXArcher County,,A,I1,C3,3,3,I1
Texas,TX,Armstrong County,TXArmstrong County,,A,I1,C3,3,3,I1
Texas,TX,Atascosa County,TXAtascosa County,,A,C3,C3,3,3,C3
Texas,TX,Austin County,TXAustin County,,A,C3,C3,3,2,C3
Texas,TX,Bailey County,TXBailey County,,A,I1,C3,3,3,I1
Texas,TX,Bandera County,TXBandera County,,A,I3,C3,3,2,I3
Texas,TX,Bastrop County,TXBastrop County,,A,I2,C3,3,2,I2
Texas,TX,Baylor County,TXBaylor County,,A,I1,C3,3,3,I1
Texas,TX,Bee County,TXBee County,Texas WS,A,C3,C3,3,3,C3
Texas,TX,Bell County,TXBell County,,A,I2,C3,3,3,I2
Texas,TX,Bexar County,TXBexar County,,A,I2,C3,3,2,I2
Texas,TX,Blanco County,TXBlanco County,,A,I2,C3,3,2,I2
Texas,TX,Borden County,TXBorden County,,A,I1,C3,3,3,I1
Texas,TX,Bosque County,TXBosque County,,A,I2,C3,3,3,I2
Texas,TX,Bowie County,TXBowie County,,A,I2,C3,3,3,I2
Texas,TX,Brazoria County,TXBrazoria County,Texas WS,A,C1,C1,3,2,C1
Texas,TX,Brazos County,TXBrazos County,,A,I3,C3,3,3,I3
Texas,TX,Brewster County,TXBrewster County,,A,I3,C3,3,3,I3
Texas,TX,Briscoe County,TXBriscoe County,,A,I1,C3,3,3,I1
Texas,TX,Brooks County,TXBrooks County,Texas WS,A,C3,C3,3,3,C3
Texas,TX,Brown County,TXBrown County,,A,I2,C3,3,2,I2
Texas,TX,Burleson County,TXBurleson County,,A,I3,C3,3,3,I3
Texas,TX,Burnet County,TXBurnet County,,A,I2,C3,3,2,I2
Texas,TX,Caldwell County,TXCaldwell County,,A,I2,C3,3,2,I2
Texas,TX,Calhoun County,TXCalhoun County,Texas WS,A,C2,C2,3,2,C2
Texas,TX,Callahan County,TXCallahan County,,A,I2,C3,3,3,I2
Texas,TX,Cameron County,TXCameron County,Texas WS,A,C2,C2,3,3,C2
Texas,TX,Camp County,TXCamp County,,A,I2,C3,3,3,I2
Texas,TX,Carson County,TXCarson County,,A,I1,C3,3,3,I1
Texas,TX,Cass County,TXCass County,,A,I3,C3,3,3,I3
Texas,TX,Castro County,TXCastro County,,A,I1,C3,3,3,I1
Texas,TX,Chambers County,TXChambers County,Texas WS,A,C2,C2,3,1,C2
Texas,TX,Cherokee County,TXCherokee County,,A,I3,C3,3,3,I3
Texas,TX,Childress County,TXChildress County,,A,I1,C3,3,3,I1
Texas,TX,Clay County,TXClay County,,A,I2,C3,3,3,I2
Texas,TX,Cochran County,TXCochran County,,A,I1,C3,3,3,I1
Texas,TX,Coke County,TXCoke County,,A,I1,C3,3,3,I1
Texas,TX,Coleman County,TXColeman County,,A,I2,C3,3,3,I2
Texas,TX,Collin County,TXCollin County,,A,I2,C3,3,3,I2
Texas,TX,Collingsworth County,TXCollingsworth County,,A,I1,C3,3,3,I1
Texas,TX,Colorado County,TXColorado County,,A,C3,C3,3,2,C3
Texas,TX,Comal County,TXComal County,,A,I2,C3,3,2,I2
Texas,TX,Comanche County,TXComanche County,,A,I2,C3,3,3,I2
Texas,TX,Concho County,TXConcho County,,A,I2,C3,3,3,I2
Texas,TX,Cooke County,TXCooke County,,A,I2,C3,3,3,I2
Texas,TX,Coryell County,TXCoryell County,,A,I2,C3,3,3,I2
Texas,TX,Cottle County,TXCottle County,,A,I1,C3,3,3,I1
Texas,TX,Crane County,TXCrane County,,A,I3,C3,3,3,I3
Texas,TX,Crockett County,TXCrockett County,,A,I3,C3,3,3,I3
Texas,TX,Crosby County,TXCrosby County,,A,I1,C3,3,3,I1
Texas,TX,Culberson County,TXCulberson County,,A,I3,C3,3,3,I3
Texas,TX,Dallam County,TXDallam County,,A,I1,C3,3,3,I1
Texas,TX,Dallas County,TXDallas County,,A,I2,C3,3,3,I2
Texas,TX,Dawson County,TXDawson County,,A,I1,C3,3,3,I1
Texas,TX,Deaf Smith County,TXDeaf Smith County,,A,I1,C3,3,3,I1
Texas,TX,Delta County,TXDelta County,,A,I2,C3,3,3,I2
Texas,TX,Denton County,TXDenton County,,A,I2,C3,3,3,I2
Texas,TX,DeWitt County,TXDeWitt County,,A,C3,C3,3,2,C3
Texas,TX,Dickens County,TXDickens County,,A,I1,C3,3,3,I1
Texas,TX,Dimmit County,TXDimmit County,,A,I3,C3,3,3,I3
Texas,TX,Donley County,TXDonley County,,A,I1,C3,3,3,I1
Texas,TX,Duval County,TXDuval County,,A,I3,C3,3,3,I3
Texas,TX,Eastland County,TXEastland County,,A,I2,C3,3,3,I2
Texas,TX,Ector County,TXEctor County,,A,I1,C3,3,3,I1
Texas,TX,Edwards County,TXEdwards County,,A,I3,C3,3,2,I3
Texas,TX,Ellis County,TXEllis County,,A,I2,C3,3,3,I2
Texas,TX,El Paso County,TXEl Paso County,,A,I3,C3,3,3,I3
Texas,TX,Erath County,TXErath County,,A,I2,C3,3,3,I2
Texas,TX,Falls County,TXFalls County,,A,I2,C3,3,3,I2
Texas,TX,Fannin County,TXFannin County,,A,I2,C3,3,3,I2
Texas,TX,Fayette County,TXFayette County,,A,I3,C3,3,2,I3
Texas,TX,Fisher County,TXFisher County,,A,I1,C3,3,3,I1
Texas,TX,Floyd County,TXFloyd County,,A,I1,C3,3,3,I1
Texas,TX,Foard County,TXFoard County,,A,I1,C3,3,3,I1
Texas,TX,Fort Bend County,TXFort Bend County,Texas WS,A,C2,C2,3,2,C2
Texas,TX,Franklin County,TXFranklin County,,A,I2,C3,3,3,I2
Texas,TX,Freestone County,TXFreestone County,,A,I2,C3,3,3,I2
Texas,TX,Frio County,TXFrio County,,A,I3,C3,3,2,I3
Texas,TX,Gaines County,TXGaines County,,A,I1,C3,3,3,I1
Texas,TX,Galveston County,TXGalveston County,Texas WS,A,C1,C1,3,1,C1
Texas,TX,Garza County,TXGarza County,,A,I1,C3,3,3,I1
Texas,TX,Gillespie County,TXGillespie County,,A,I2,C3,3,2,I2
Texas,TX,Glasscock County,TXGlasscock County,,A,I1,C3,3,3,I1
Texas,TX,Goliad County,TXGoliad County,Texas WS,A,C3,C3,3,3,C3
Texas,TX,Gonzales County,TXGonzales County,,A,I3,C3,3,2,I3
Texas,TX,Gray County,TXGray County,,A,I1,C3,3,3,I1
Texas,TX,Grayson County,TXGrayson County,,A,I2,C3,3,3,I2
Texas,TX,Gregg County,TXGregg County,,A,I3,C3,3,3,I3
Texas,TX,Grimes County,TXGrimes County,,A,I3,C3,3,3,I3
Texas,TX,Guadalupe County,TXGuadalupe County,,A,I2,C3,3,2,I2
Texas,TX,Hale County,TXHale County,,A,I1,C3,3,3,I1
Texas,TX,Hall County,TXHall County,,A,I1,C3,3,3,I1
Texas,TX,Hamilton County,TXHamilton County,,A,I2,C3,3,3,I2
Texas,TX,Hansford County,TXHansford County,,A,I1,C3,3,3,I1
Texas,TX,Hardeman County,TXHardeman County,,A,I1,C3,3,3,I1
Texas,TX,Hardin County,TXHardin County,Texas WS,A,C3,C3,3,1,C3
Texas,TX,Harris County,TXHarris County,Texas WS,A,C1,C1,3,1,C1
Texas,TX,Harrison County,TXHarrison County,,A,I3,C3,3,3,I3
Texas,TX,Hartley County,TXHartley County,,A,I1,C3,3,3,I1
Texas,TX,Haskell County,TXHaskell County,,A,I1,C3,3,3,I1
Texas,TX,Hays County,TXHays County,,A,I2,C3,3,2,I2
Texas,TX,Hemphill County,TXHemphill County,,A,I1,C3,3,3,I1
Texas,TX,Henderson County,TXHenderson County,,A,I2,C3,3,3,I2
Texas,TX,Hidalgo County,TXHidalgo County,Texas WS,A,C3,C3,3,3,C3
Texas,TX,Hill County,TXHill County,,A,I2,C3,3,3,I2
Texas,TX,Hockley County,TXHockley County,,A,I1,C3,3,3,I1
Texas,TX,Hood County,TXHood County,,A,I2,C3,3,3,I2
Texas,TX,Hopkins County,TXHopkins County,,A,I2,C3,3,3,I2
Texas,TX,Houston County,TXHouston County,,A,I3,C3,3,3,I3
Texas,TX,Howard County,TXHoward County,,A,I1,C3,3,3,I1
Texas,TX,Hudspeth County,TXHudspeth County,,A,I3,C3,3,3,I3
Texas,TX,Hunt County,TXHunt County,,A,I2,C3,3,3,I2
Texas,TX,Hutchinson County,TXHutchinson County,,A,I1,C3,3,3,I1
Texas,TX,Irion County,TXIrion County,,A,I3,C3,3,3,I3
Texas,TX,Jack County,TXJack County,,A,I2,C3,3,3,I2
Texas,TX,Jackson County,TXJackson County,Texas WS,A,C3,C3,3,2,C3
Texas,TX,Jasper County,TXJasper County,,A,C3,C3,3,1,C3
Texas,TX,Jeff Davis County,TXJeff Davis County,,A,I3,C3,3,3,I3
Texas,TX,Jefferson County,TXJefferson County,Texas WS,A,C2,C2,3,1,C2
Texas,TX,Jim Hogg County,TXJim Hogg County,,A,I3,C3,3,3,I3
Texas,TX,Jim Wells County,TXJim Wells County,Texas WS,A,C3,C3,3,3,C3
Texas,TX,Johnson County,TXJohnson County,,A,I2,C3,3,3,I2
Texas,TX,Jones County,TXJones County,,A,I1,C3,3,3,I1
Texas,TX,Karnes County,TXKarnes County,,A,I3,C3,3,2,I3
Texas,TX,Kaufman County,TXKaufman County,,A,I2,C3,3,3,I2
Texas,TX,Kendall County,TXKendall County,,A,I2,C3,3,2,I2
Texas,TX,Kenedy County,TXKenedy County,Texas WS,A,C2,C2,3,3,C2
Texas,TX,Kent County,TXKent County,,A,I1,C3,3,3,I1
Texas,TX,Kerr County,TXKerr County,,A,I3,C3,3,2,I3
Texas,TX,Kimble County,TXKimble County,,A,I3,C3,3,2,I3
Texas,TX,King County,TXKing County,,A,I1,C3,3,3,I1
Texas,TX,Kinney County,TXKinney County,,A,I3,C3,3,2,I3
Texas,TX,Kleberg County,TXKleberg County,Texas WS,A,C2,C2,3,3,C2
Texas,TX,Knox County,TXKnox County,,A,I1,C3,3,3,I1
Texas,TX,Lamar County,TXLamar County,,A,I2,C3,3,3,I2
Texas,TX,Lamb County,TXLamb County,,A,I1,C3,3,3,I1
Texas,TX,Lampasas County,TXLampasas County,,A,I2,C3,3,2,I2
Texas,TX,La Salle County,TXLa Salle County,,A,I3,C3,3,3,I3
Texas,TX,Lavaca County,TXLavaca County,,A,C3,C3,3,2,C3
Texas,TX,Lee County,TXLee County,,A,I3,C3,3,3,I3
Texas,TX,Leon County,TXLeon County,,A,I3,C3,3,3,I3
Texas,TX,Liberty County,TXLiberty County,Texas WS,A,C3,C3,3,1,C3
Texas,TX,Limestone County,TXLimestone County,,A,I2,C3,3,3,I2
Texas,TX,Lipscomb County,TXLipscomb County,,A,I1,C3,3,3,I1
Texas,TX,Live Oak County,TXLive Oak County,Texas WS,A,C3,C3,3,3,C3
Texas,TX,Llano County,TXLlano County,,A,I2,C3,3,2,I2
Texas,TX,Loving County,TXLoving County,,A,I3,C3,3,3,I3
Texas,TX,Lubbock County,TXLubbock County,,A,I1,C3,3,3,I1
Texas,TX,Lynn County,TXLynn County,,A,I1,C3,3,3,I1
Texas,TX,McCulloch County,TXMcCulloch County,,A,I2,C3,3,2,I2
Texas,TX,McLennan County,TXMcLennan County,,A,I2,C3,3,3,I2
Texas,TX,McMullen County,TXMcMullen County,,A,C3,C3,3,3,C3
Texas,TX,Madison County,TXMadison County,,A,I3,C3,3,3,I3
Texas,TX,Marion County,TXMarion County,,A,I3,C3,3,3,I3
Texas,TX,Martin County,TXMartin County,,A,I1,C3,3,3,I1
Texas,TX,Mason County,TXMason County,,A,I2,C3,3,2,I2
Texas,TX,Matagorda County,TXMatagorda County,Texas WS,A,C2,C2,3,2,C2
Texas,TX,Maverick County,TXMaverick County,,A,I3,C3,3,3,I3
Texas,TX,Medina County,TXMedina County,,A,I3,C3,3,2,I3
Texas,TX,Menard County,TXMenard County,,A,I2,C3,3,3,I2
Texas,TX,Midland County,TXMidland County,,A,I1,C3,3,3,I1
Texas,TX,Milam County,TXMilam County,,A,I2,C3,3,3,I2
Texas,TX,Mills County,TXMills County,,A,I2,C3,3,2,I2
Texas,TX,Mitchell County,TXMitchell County,,A,I1,C3,3,3,I1
Texas,TX,Montague County,TXMontague County,,A,I2,C3,3,3,I2
Texas,TX,Montgomery County,TXMontgomery County,,A,C3,C3,3,2,C3
Texas,TX,Moore County,TXMoore County,,A,I1,C3,3,3,I1
Texas,TX,Morris County,TXMorris County,,A,I2,C3,3,3,I2
Texas,TX,Motley County,TXMotley County,,A,I1,C3,3,3,I1
Texas,TX,Nacogdoches County,TXNacogdoches County,,A,I3,C3,3,3,I3
Texas,TX,Navarro County,TXNavarro County,,A,I2,C3,3,3,I2
Texas,TX,Newton County,TXNewton County,,A,C3,C3,3,1,C3
Texas,TX,Nolan County,TXNolan County,,A,I1,C3,3,3,I1
Texas,TX,Nueces County,TXNueces County,Texas WS,A,C2,C2,3,3,C2
Texas,TX,Ochiltree County,TXOchiltree County,,A,I1,C3,3,3,I1
Texas,TX,Oldham County,TXOldham County,,A,I1,C3,3,3,I1
Texas,TX,Orange County,TXOrange County,Texas WS,A,C3,C3,3,1,C3
Texas,TX,Palo Pinto County,TXPalo Pinto County,,A,I2,C3,3,3,I2
Texas,TX,Panola County,TXPanola County,,A,I3,C3,3,3,I3
Texas,TX,Parker County,TXParker County,,A,I2,C3,3,3,I2
Texas,TX,Parmer County,TXParmer County,,A,I1,C3,3,3,I1
Texas,TX,Pecos County,TXPecos County,,A,I3,C3,3,3,I3
Texas,TX,Polk County,TXPolk County,,A,C3,C3,3,1,C3
Texas,TX,Potter County,TXPotter County,,A,I1,C3,3,3,I1
Texas,TX,Presidio County,TXPresidio County,,A,I3,C3,3,3,I3
Texas,TX,Rains County,TXRains County,,A,I2,C3,3,3,I2
Texas,TX,Randall County,TXRandall County,,A,I1,C3,3,3,I1
Texas,TX,Reagan County,TXReagan County,,A,I3,C3,3,3,I3
Texas,TX,Real County,TXReal County,,A,I3,C3,3,2,I3
Texas,TX,Red River County,TXRed River County,,A,I2,C3,3,3,I2
Texas,TX,Reeves County,TXReeves County,,A,I3,C3,3,3,I3
Texas,TX,Refugio County,TXRefugio County,Texas WS,A,C2,C2,3,3,C2
Texas,TX,Roberts County,TXRoberts County,,A,I1,C3,3,3,I1
Texas,TX,Robertson County,TXRobertson County,,A,I3,C3,3,3,I3
Texas,TX,Rockwall County,TXRockwall County,,A,I2,C3,3,3,I2
Texas,TX,Runnels County,TXRunnels County,,A,I2,C3,3,3,I2
Texas,TX,Rusk County,TXRusk County,,A,I3,C3,3,3,I3
Texas,TX,Sabine County,TXSabine County,,A,I3,C3,3,2,I3
Texas,TX,San Augustine County,TXSan Augustine County,,A,I3,C3,3,3,I3
Texas,TX,San Jacinto County,TXSan Jacinto County,,A,C3,C3,3,2,C3
Texas,TX,San Patricio County,TXSan Patricio County,Texas WS,A,C2,C2,3,3,C2
Texas,TX,San Saba County,TXSan Saba County,,A,I2,C3,3,2,I2
Texas,TX,Schleicher County,TXSchleicher County,,A,I3,C3,3,3,I3
Texas,TX,Scurry County,TXScurry County,,A,I1,C3,3,3,I1
Texas,TX,Shackelford County,TXShackelford County,,A,I2,C3,3,3,I2
Texas,TX,Shelby County,TXShelby County,,A,I3,C3,3,3,I3
Texas,TX,Sherman County,TXSherman County,,A,I1,C3,3,3,I1
Texas,TX,Smith County,TXSmith County,,A,I2,C3,3,3,I2
Texas,TX,Somervell County,TXSomervell County,,A,I2,C3,3,3,I2
Texas,TX,Starr County,TXStarr County,,A,C3,C3,3,3,C3
Texas,TX,Stephens County,TXStephens County,,A,I2,C3,3,3,I2
Texas,TX,Sterling County,TXSterling County,,A,I1,C3,3,3,I1
Texas,TX,Stonewall County,TXStonewall County,,A,I1,C3,3,3,I1
Texas,TX,Sutton County,TXSutton County,,A,I3,C3,3,3,I3
Texas,TX,Swisher County,TXSwisher County,,A,I1,C3,3,3,I1
Texas,TX,Tarrant County,TXTarrant County,,A,I2,C3,3,3,I2
Texas,TX,Taylor County,TXTaylor County,,A,I2,C3,3,3,I2
Texas,TX,Terrell County,TXTerrell County,,A,I3,C3,3,3,I3
Texas,TX,Terry County,TXTerry County,,A,I1,C3,3,3,I1
Texas,TX,Throckmorton County,TXThrockmorton County,,A,I1,C3,3,3,I1
Texas,TX,Titus County,TXTitus County,,A,I2,C3,3,3,I2
Texas,TX,Tom Green County,TXTom Green County,,A,I2,C3,3,3,I2
Texas,TX,Travis County,TXTravis County,,A,I2,C3,3,2,I2
Texas,TX,Trinity County,TXTrinity County,,A,I3,C3,3,3,I3
Texas,TX,Tyler County,TXTyler County,,A,C3,C3,3,1,C3
Texas,TX,Upshur County,TXUpshur County,,A,I2,C3,3,3,I2
Texas,TX,Upton County,TXUpton County,,A,I3,C3,3,3,I3
Texas,TX,Uvalde County,TXUvalde County,,A,I3,C3,3,2,I3
Texas,TX,Val Verde County,TXVal Verde County,,A,I3,C3,3,3,I3
Texas,TX,Van Zandt County,TXVan Zandt County,,A,I2,C3,3,3,I2
Texas,TX,Victoria County,TXVictoria County,Texas WS,A,C3,C3,3,3,C3
Texas,TX,Walker County,TXWalker County,,A,I3,C3,3,2,I3
Texas,TX,Waller County,TXWaller County,,A,C3,C3,3,2,C3
Texas,TX,Ward County,TXWard County,,A,I3,C3,3,3,I3
Texas,TX,Washington County,TXWashington County,,A,I3,C3,3,2,I3
Texas,TX,Webb County,TXWebb County,,A,I3,C3,3,3,I3
Texas,TX,Wharton County,TXWharton County,Texas WS,A,C3,C3,3,2,C3
Texas,TX,Wheeler County,TXWheeler County,,A,I1,C3,3,3,I1
Texas,TX,Wichita County,TXWichita County,,A,I1,C3,3,3,I1
Texas,TX,Wilbarger County,TXWilbarger County,,A,I1,C3,3,3,I1
Texas,TX,Willacy County,TXWillacy County,Texas WS,A,C2,C2,3,3,C2
Texas,TX,Williamson County,TXWilliamson County,,A,I2,C3,3,2,I2
Texas,TX,Wilson County,TXWilson County,,A,I2,C3,3,2,I2
Texas,TX,Winkler County,TXWinkler County,,A,I1,C3,3,3,I1
Texas,TX,Wise County,TXWise County,,A,I2,C3,3,3,I2
Texas,TX,Wood County,TXWood County,,A,I2,C3,3,3,I2
Texas,TX,Yoakum County,TXYoakum County,,A,I1,C3,3,3,I1
Texas,TX,Young County,TXYoung County,,A,I2,C3,3,3,I2
Texas,TX,Zapata County,TXZapata County,,A,I3,C3,3,3,I3
Texas,TX,Zavala County,TXZavala County,,A,I3,C3,3,3,I3
Virginia,VA,Accomack County,VAAccomack County,Mid Atlantic WS,A,C2,C2,3,1,C2
Virginia,VA,Albemarle County,VAAlbemarle County,,A,I3,I3,3,3,I3
Virginia,VA,Alleghany County,VAAlleghany County,,A,I3,I3,3,2,I3
Virginia,VA,Amelia County,VAAmelia County,,A,I3,I3,3,3,I3
Virginia,VA,Amherst County,VAAmherst County,,A,I3,I3,3,3,I3
Virginia,VA,Appomattox County,VAAppomattox County,,A,I3,I3,3,3,I3
Virginia,VA,Arlington County,VAArlington County,,A,I3,I3,3,3,I3
Virginia,VA,Augusta County,VAAugusta County,,A,I3,I3,3,3,I3
Virginia,VA,Bath County,VABath County,,A,I3,I3,3,2,I3
Virginia,VA,Bedford County,VABedford County,,A,I3,I3,3,2,I3
Virginia,VA,Bland County,VABland County,,A,I3,I3,3,1,I3
Virginia,VA,Botetourt County,VABotetourt County,,A,I3,I3,3,2,I3
Virginia,VA,Brunswick County,VABrunswick County,,A,I3,I3,3,3,I3
Virginia,VA,Buchanan County,VABuchanan County,,A,I3,I3,3,1,I3
Virginia,VA,Buckingham County,VABuckingham County,,A,I3,I3,3,3,I3
Virginia,VA,Campbell County,VACampbell County,,A,I3,I3,3,3,I3
Virginia,VA,Caroline County,VACaroline County,,A,I3,I3,3,3,I3
Virginia,VA,Carroll County,VACarroll County,,A,I3,I3,3,3,I3
Virginia,VA,Charles City County,VACharles City County,,A,C3,C3,3,2,C3
Virginia,VA,Charlotte County,VACharlotte County,,A,I3,I3,3,3,I3
Virginia,VA,Chesterfield County,VAChesterfield County,,A,I3,I3,3,3,I3
Virginia,VA,Clarke County,VAClarke County,,A,I3,I3,3,1,I3
Virginia,VA,Craig County,VACraig County,,A,I3,I3,3,2,I3
Virginia,VA,Culpeper County,VACulpeper County,,A,I3,I3,3,3,I3
Virginia,VA,Cumberland County,VACumberland County,,A,I3,I3,3,3,I3
Virginia,VA,Dickenson County,VADickenson County,,A,I3,I3,3,1,I3
Virginia,VA,Dinwiddie County,VADinwiddie County,,A,I3,I3,3,3,I3
Virginia,VA,Essex County,VAEssex County,,A,C3,C3,3,3,C3
Virginia,VA,Fairfax County,VAFairfax County,,A,I3,I3,3,3,I3
Virginia,VA,Fauquier County,VAFauquier County,,A,I3,I3,3,3,I3
Virginia,VA,Floyd County,VAFloyd County,,A,I3,I3,3,3,I3
Virginia,VA,Fluvanna County,VAFluvanna County,,A,I3,I3,3,3,I3
Virginia,VA,Franklin County,VAFranklin County,,A,I3,I3,3,2,I3
Virginia,VA,Frederick County,VAFrederick County,,A,I3,I3,3,1,I3
Virginia,VA,Giles County,VAGiles County,,A,I3,I3,3,1,I3
Virginia,VA,Gloucester County,VAGloucester County,Mid Atlantic WS,A,C2,C2,3,1,C2
Virginia,VA,Goochland County,VAGoochland County,,A,I3,I3,3,3,I3
